Sample,"Volt avg 1","Curr avg 1"
0,5.00056,0.000334253
1,5,8.82246e-005
2,5.00008,0.000109685
3,5.00036,0.000114724
4,5.00062,0.000112447
5,5.00007,0.000114812
6,5.00005,0.000115594
7,5.00039,0.000114592
8,4.99992,0.000115424
9,5.00026,0.000117494
10,4.99987,0.000113941
11,5,0.000115543
12,5.00045,0.000116531
13,4.99903,0.00542718
14,5.00093,0.00038864
15,4.99964,8.76053e-005
16,4.99979,0.000109275
17,5.00027,0.000111614
18,4.99994,0.000115091
19,5.00019,0.000114607
20,5.00043,0.000114875
21,5.00068,0.000115282
22,5.00043,0.000115213
23,4.99978,0.000114563
24,5.00009,0.00011673
25,5.00031,0.000115196
26,5.00031,0.000117501
27,4.99972,0.00436519
28,5.0004,0.000364119
29,5.00005,9.20796e-005
30,5.00022,0.00011074
31,5.0005,0.000112945
32,4.99972,0.000116207
33,5.0002,0.000113952
34,5.00006,0.000115181
35,4.99971,0.000116176
36,5.00021,0.000115614
37,5.0001,0.000116579
38,4.99967,0.0054521
39,5.00007,0.000364442
40,5.00035,8.81278e-005
41,5.00014,0.000106781
42,5.00028,0.000112777
43,5.00046,0.000115337
44,4.99957,0.000113631
45,5.00051,0.000115933
46,4.99985,0.00011499
47,5.0001,0.00011593
48,4.99999,0.000115743
49,4.99998,0.000115649
50,4.99973,0.000114165
51,5.00013,0.00011822
52,4.99976,0.00534244
53,5.00057,0.00043089
54,5.00025,8.35469e-005
55,5.0002,0.000106894
56,5.00028,0.000113178
57,5.00053,0.00011478
58,5.00025,0.000113985
59,5.0001,0.000115597
60,5.00065,0.000115237
61,5.00037,0.000114378
62,4.99991,0.000114708
63,5.00052,0.000115827
64,5.00072,0.000115381
65,4.99984,0.000120027
66,4.99923,0.00246651
67,5.00053,0.000296553
68,5.00051,0.000105532
69,4.99978,0.000112688
70,5.00031,0.000113722
71,5.00018,0.000117071
72,4.99926,0.00504282
73,5.00051,0.000780142
74,4.99997,7.49481e-005
75,5.00034,0.000107642
76,5.00004,0.00011196
77,4.99981,0.00011465
78,5.00042,0.000115183
79,5.00023,0.000114139
80,5.00036,0.000114688
81,5.00019,0.000115501
82,5.00016,0.000115861
83,4.99986,0.000114733
84,5.00039,0.000115603
85,4.99982,0.000116105
86,4.99825,0.00397474
87,5.00199,0.00188718
88,5.00059,5.52196e-005
89,5.00075,0.000104358
90,5.00005,0.000113222
91,5.00001,0.000114083
92,5.00009,0.000115136
93,4.99967,0.000115912
94,5,0.000113721
95,4.99974,0.000114516
96,4.99977,0.000115554
97,5.00004,0.00011516
98,5.00018,0.000117561
99,5.00015,0.000116958
100,4.99928,0.00230065
101,5.0007,0.000504592
102,4.99998,9.59918e-005
103,5.00044,0.000111253
104,5.00017,0.000116667
105,4.99998,0.000114196
106,4.9989,0.00112054
107,5.00095,0.00366183
108,5.00037,5.18749e-005
109,5.0001,0.000104899
110,5.00002,0.000111477
111,5,0.000115357
112,5.00007,0.000113222
113,5.00036,0.000116916
114,5.00011,0.000115008
115,5.00056,0.000115859
116,4.99993,0.000116391
