Sample,"Volt avg 1","Curr avg 1"
0,5.00028,0.000460043
1,5.00033,0.000320536
2,5.00017,0.000238039
3,4.99997,0.000189338
4,5.00016,0.000160503
5,4.99986,0.000144077
6,5.00012,0.000581711
7,5.00054,0.00102228
8,5.00037,0.000647217
9,5.00053,0.000431403
10,4.99983,0.000303833
11,4.99967,0.000760054
12,5.00018,0.00100258
13,5.00001,0.000626015
14,5.0001,0.000413356
15,4.9999,0.000503309
16,5.00023,0.00229407
17,5.00038,0.00150351
18,4.99997,0.000997704
19,5.00022,0.000615623
20,5.00039,0.000402278
21,5.00029,0.000278546
22,5.00012,0.000208816
23,5.00043,0.000169882
24,4.99988,0.000147751
25,5.00049,0.000136737
26,4.99958,0.00177619
27,5.00019,0.00173411
28,5.00057,0.0011182
29,4.99966,0.000685997
30,4.99977,0.000433005
31,4.99994,0.000292092
32,5.00049,0.000214161
33,5.00018,0.00017176
34,4.9997,0.000148587
35,5.00007,0.000136136
36,4.99987,0.000259332
37,5.00001,0.00118889
38,4.99998,0.000763773
39,5.00041,0.000471344
40,5.00042,0.000309346
41,4.99996,0.000984459
42,4.99961,0.00172127
43,5.00068,0.00111506
44,5.00006,0.000669587
45,5.00001,0.00041639
46,4.99993,0.000279633
47,5.00004,0.000205897
48,4.99968,0.000166378
49,5.00007,0.000766739
50,4.99986,0.00223961
51,5.0004,0.0013687
52,5.00016,0.0008619
53,4.99996,0.000514942
54,5.00011,0.000331285
55,5.00018,0.000233008
56,5.00014,0.000180186
57,4.99974,0.000152204
58,4.99989,0.000136906
59,5.00023,0.000130153
60,5,0.000801962
61,5.0004,0.000991579
62,4.99975,0.00058729
63,5.00028,0.000370248
64,5.00037,0.000255291
65,5.00005,0.00216856
66,4.99979,0.00168607
67,5.00011,0.00107918
68,5.00011,0.000640765
69,5.00025,0.000400841
70,4.99994,0.000271007
71,5.00062,0.000200135
72,5.00046,0.00016394
73,5.00015,0.000143677
74,4.99968,0.000134146
75,4.99994,0.000563488
76,5.00034,0.00110935
77,4.99987,0.000655166
78,4.9999,0.000403261
79,5.00025,0.000269283
80,4.99996,0.0014962
81,4.99981,0.00155641
82,5.00007,0.000984832
83,5.00067,0.000573806
84,5.00015,0.00035876
85,5.00033,0.000244341
86,4.9999,0.000184863
87,5.00058,0.000154329
88,5.00016,0.00103542
89,5.00033,0.00219182
90,4.99983,0.00131078
91,5.00002,0.000790781
92,5.00007,0.000470975
93,5.0001,0.000300833
94,4.99984,0.000213419
95,5.00044,0.00016803
96,4.9997,0.000144746
97,5.00042,0.000133025
98,4.99954,0.000130534
99,4.99983,0.0010788
100,4.99978,0.000899335
101,5.0003,0.000522191
102,5.00028,0.000327874
103,4.99992,0.000473531
104,5,0.00251318
105,5.00051,0.00150375
106,5.00052,0.00092678
107,5.00017,0.000535638
108,5.00023,0.000333028
109,5.00021,0.000228706
110,4.99983,0.000175557
111,4.99979,0.000148613
112,4.9999,0.000134666
113,4.99995,0.000128328
114,4.99948,0.000815142
115,5.00016,0.000991716
116,5.00026,0.000561474
117,5.00005,0.00034165
118,4.99988,0.000234295
119,4.99985,0.00255738
120,5.00064,0.00159586
121,5.00053,0.000974192
122,5.00007,0.000547876
123,4.9999,0.000333586
124,5.00004,0.000225929
125,5.00023,0.000172662
126,5.00006,0.000146023
127,4.99983,0.000133711
128,5.00044,0.000127598
129,5.00013,0.000730594
130,5.00028,0.00105132
131,5.00039,0.000587635
132,5.00031,0.000350171
133,4.99987,0.000234732
134,4.99907,0.00232354
135,5.00007,0.00173343
136,5.00031,0.00103524
137,5.00012,0.000572086
138,4.99983,0.000340255
139,5.00031,0.000226888
140,5.00048,0.000172095
141,5.0003,0.000145222
142,5.00031,0.000132586
143,5.00004,0.000126354
144,4.99943,0.00171815
145,4.99993,0.00199669
146,5.00012,0.00115046
147,5.0001,0.000638295
148,5.0001,0.000368136
149,5.00021,0.000238042
150,5.00013,0.00017587
151,5.00047,0.000146426
152,5.00034,0.000132834
153,5.00066,0.000126038
154,4.99942,0.000289855
155,5.0006,0.00149733
156,5.00024,0.000949403
157,5.00019,0.000517347
158,5.00021,0.000306749
159,5,0.000208564
160,4.99928,0.00203203
161,4.99991,0.00192305
162,5.0001,0.00110459
163,5.00017,0.000604368
164,5.0005,0.000347519
165,5.00021,0.000226358
166,4.99959,0.000169109
167,5.0003,0.000142906
168,4.99977,0.000131063
169,4.99998,0.000125335
170,4.99974,0.000203526
171,5.0001,0.00126541
172,4.99994,0.000763763
173,4.99964,0.000426293
174,4.99977,0.000263338
175,4.99998,0.00180351
176,5.00045,0.0020652
177,5.00032,0.0011697
178,5.00017,0.000643491
179,5.00017,0.000366647
180,5.00005,0.00023605
181,4.99994,0.000173441
182,5.00006,0.00014557
183,5.00002,0.000131417
184,5.00017,0.000124951
185,4.99991,0.000563644
186,4.99959,0.00257434
187,5.00014,0.0014204
188,5.00068,0.000817739
189,5.00043,0.000446755
190,4.99951,0.000272186
191,5.00027,0.000191006
192,5.0003,0.000152961
193,5.00002,0.000135207
194,5.00033,0.000126983
195,5.00005,0.000124491
196,4.99964,0.000862995
197,5.00016,0.00105831
198,4.99971,0.000568859
199,5.00001,0.000330379
200,5.00003,0.000219753
201,4.99984,0.00116864
202,5.00008,0.000938851
203,5.00058,0.000504758
204,5.00023,0.000298567
205,4.99974,0.000547074
206,5.00026,0.00266677
207,5.00028,0.00146
208,4.99982,0.000843429
209,5.00069,0.000459522
210,4.99971,0.000276793
211,5.00018,0.000192684
212,5.00011,0.000153698
213,5.00035,0.000135411
214,4.9999,0.000127708
215,4.99992,0.000123735
216,4.99967,0.000849026
217,5.00057,0.00101323
218,5.00037,0.000546565
219,5.00027,0.000318131
220,4.99994,0.000292264
221,5.00007,0.00220447
222,5.00031,0.00131562
223,5.00013,0.000739458
224,5.00045,0.00040907
225,5.00001,0.000253683
226,5.0001,0.000181736
227,4.99989,0.000148789
228,5.00001,0.00013465
229,4.99972,0.000976685
230,4.99978,0.000970991
231,5.00031,0.00051632
232,5.00028,0.000304059
233,5.00016,0.000619937
234,5.00005,0.00269641
235,5.00042,0.00145809
236,5.0006,0.000831997
237,5,0.000447573
238,4.99988,0.000270005
239,5.00031,0.000189147
240,5.00017,0.000152296
241,5.00028,0.000134875
242,5.0005,0.0001265
243,4.99977,0.000123163
244,4.99978,0.000819645
245,4.99976,0.00105663
246,4.99984,0.000554829
247,5.00007,0.000317604
248,5.00048,0.000212953
249,5.00018,0.00120346
250,5.00005,0.000886956
251,4.99995,0.000466585
252,5.00032,0.000275691
253,5.00002,0.00142555
254,5.00043,0.00232535
255,5.00006,0.00124616
256,5.00056,0.00067719
257,4.99994,0.000369495
258,5.00008,0.000231563
259,4.99956,0.000169376
260,5.00034,0.000141705
261,5.00014,0.000130238
262,5.00012,0.000124572
263,4.99969,0.000442199
264,5.00033,0.00275544
265,5.00047,0.00146444
266,5.0005,0.000817731
267,5.00005,0.000430707
268,5.00039,0.000258023
269,5.00002,0.000181723
270,4.99963,0.000147359
271,4.9998,0.000131338
272,5.00023,0.000124658
273,5.00053,0.000121979
274,4.99984,0.000676216
275,5.0004,0.00116042
276,5.00013,0.00061496
277,5.00031,0.000341494
278,5.00008,0.00021857
279,4.99939,0.00260273
280,5,0.00172684
281,5.00028,0.000971483
282,5.00046,0.000503999
283,4.99976,0.000290042
284,5.0001,0.000194996
285,5.00044,0.000153552
286,4.99999,0.000134419
287,4.99982,0.000125553
288,5.00013,0.000122345
289,5.00035,0.000510948
290,5.00011,0.00120599
291,4.9999,0.00064902
292,5.00035,0.000356452
293,5.00051,0.000224519
294,4.99955,0.00202432
295,5.0003,0.00200767
296,4.99981,0.00110145
297,5.00025,0.000579047
298,5.00039,0.000324092
299,5.00003,0.000210099
300,5.00009,0.000159899
301,5.0002,0.000137061
302,4.99966,0.000127516
303,5.00028,0.000122688
304,4.99965,0.000286037
305,5.0002,0.00132945
306,5.0005,0.000765288
307,5.00041,0.000409079
308,4.99973,0.000247533
309,4.99988,0.00118102
310,5.00017,0.00244001
311,5.00015,0.00128868
312,5.00007,0.000701287
313,5.0001,0.00037847
314,5.00023,0.000233106
315,5.00045,0.000170043
316,4.99983,0.000142477
317,4.99984,0.000129334
318,4.9999,0.000124448
319,4.99998,0.000125418
320,4.99983,0.00114876
321,5.0002,0.0008964
322,5.00015,0.000466166
323,4.99955,0.000273445
324,4.99984,0.00102685
325,5.00021,0.00254264
326,4.99998,0.00133782
327,4.99975,0.000734423
328,4.99991,0.00039286
329,5,0.000240605
330,5.00015,0.000173369
331,5.00006,0.000143338
332,5.00006,0.000130191
333,5.00004,0.000124298
334,4.99984,0.000122777
