frequency,segment_length,overlap,training_time,accuracy,auc,recall,precision,f1_score,trainable_parameters
1,11,0.25,39.49451208114624,0.9159023761749268,0.7206728458404541,0.17824074625968933,0.15217390656471252,0.08857449144124985,10017.0
1,11,0.5,63.165290117263794,0.931204617023468,0.7135250568389893,0.1533646285533905,0.18882466852664948,0.08739954233169556,10017.0
1,11,0.75,114.05490756034851,0.9054906964302063,0.7001355290412903,0.25215011835098267,0.16052763164043427,0.0874694287776947,10017.0
1,15,0.25,40.12316131591797,0.8626389503479004,0.7199208736419678,0.3233890235424042,0.17130215466022491,0.11550653725862503,10017.0
1,15,0.5,62.25563716888428,0.8824849128723145,0.7202125787734985,0.29751402139663696,0.19475065171718597,0.11464030295610428,10017.0
1,15,0.75,64.10832715034485,0.8780083656311035,0.737747848033905,0.31957125663757324,0.19662921130657196,0.11573625355958939,10017.0
1,20,0.25,30.063862800598145,0.8447132110595703,0.7620081305503845,0.42874541878700256,0.2386440634727478,0.14828860759735107,11041.0
1,20,0.5,34.3675262928009,0.8532969355583191,0.7358825206756592,0.31738436222076416,0.221357062458992,0.1507936269044876,11041.0
1,20,0.75,66.57079362869263,0.8151074647903442,0.7531918287277222,0.469255656003952,0.20961329340934753,0.14880359172821045,11041.0
1,30,0.25,19.73996663093567,0.7957272529602051,0.7876071333885193,0.5709001421928406,0.30641958117485046,0.21216480433940887,12065.0
1,30,0.5,40.16549491882324,0.7535609602928162,0.7834212779998779,0.6454018354415894,0.2707681655883789,0.2107008546590805,12065.0
1,30,0.75,43.976203203201294,0.7975214719772339,0.7959649562835693,0.5889621376991272,0.31209078431129456,0.21183037757873535,12065.0
1,60,0.25,15.19865608215332,0.7902753353118896,0.8278579711914062,0.6609195470809937,0.4893617033958435,0.33868607878685,16161.0
1,60,0.5,25.696553230285645,0.751757800579071,0.8500936627388,0.7973231077194214,0.44057053327560425,0.3392798900604248,16161.0
1,60,0.75,28.969331741333008,0.7729048728942871,0.8282617926597595,0.7106017470359802,0.46398502588272095,0.3396042287349701,16161.0
2,11,0.25,45.90686774253845,0.917243242263794,0.6630411148071289,0.2017010897397995,0.15779468417167664,0.08454899489879608,11041.0
2,11,0.5,45.15057110786438,0.9347445368766785,0.7098212838172913,0.11836734414100647,0.16292135417461395,0.08392709493637085,11041.0
2,11,0.75,120.03546690940857,0.9302533268928528,0.6703159809112549,0.15656770765781403,0.17405062913894653,0.08422674238681793,11041.0
2,15,0.25,36.237064599990845,0.87675541639328,0.739947497844696,0.31677019596099854,0.18345323204994202,0.11121086776256561,12065.0
2,15,0.5,60.10274529457092,0.8863857984542847,0.7295863628387451,0.29066887497901917,0.1930883228778839,0.11151525378227234,12065.0
2,15,0.75,106.66089391708374,0.8968813419342041,0.7244712710380554,0.26008230447769165,0.20633366703987122,0.11187586933374405,12065.0
2,20,0.25,36.02652287483215,0.8329106569290161,0.7500001788139343,0.4215080440044403,0.21500630676746368,0.1462797075510025,14113.0
2,20,0.5,46.026626110076904,0.8419820666313171,0.7325122356414795,0.3621533513069153,0.21223708987236023,0.14767524600028992,14113.0
2,20,0.75,58.951146364212036,0.8745813369750977,0.7520421743392944,0.3194042146205902,0.25871312618255615,0.14573408663272858,14113.0
2,30,0.25,33.33088445663452,0.7878255844116211,0.7955896258354187,0.6057571768760681,0.2989499568939209,0.20935408771038055,16161.0
2,30,0.5,49.04650688171387,0.7881951332092285,0.8055750727653503,0.6225941181182861,0.30194804072380066,0.20882479846477509,16161.0
2,30,0.75,72.25549149513245,0.8092310428619385,0.7860922813415527,0.5271739363670349,0.3121287226676941,0.209017813205719,16161.0
2,60,0.25,17.89842391014099,0.7141183614730835,0.8062046766281128,0.7492795586585999,0.39334341883659363,0.3378773033618927,24353.0
2,60,0.5,27.466719388961792,0.767382800579071,0.8413182497024536,0.7560038566589355,0.4564965069293976,0.33793213963508606,24353.0
2,60,0.75,24.164416790008545,0.20384840667247772,0.6047082543373108,1.0,0.20384840667247772,0.33866122364997864,24353.0
